,pid,rank,name,link,points_moved,tourneys_played,points_losing,points_gaining
67,mc10,67,Andy Murray,/en/players/andy-murray/mc10/overview,-125,26,-,-
68,o483,68,Christopher O'Connell,/en/players/christopher-o'connell/o483/overview,-20,31,65,16
69,c0e9,69,Flavio Cobolli,/en/players/flavio-cobolli/c0e9/overview,-,33,-,-
70,mu94,70,Jaume Munar,/en/players/jaume-munar/mu94/overview,+40,30,90,10
71,v832,71,Aleksandar Vukic,/en/players/aleksandar-vukic/v832/overview,+17,31,16,8
72,v0dz,72,Luca Van Assche,/en/players/luca-van-assche/v0dz/overview,-,24,125,10
73,sx91,73,Thiago Seyboth Wild,/en/players/thiago-seyboth-wild/sx91/overview,+94,25,-,-
74,w367,74,Stan Wawrinka,/en/players/stan-wawrinka/w367/overview,-45,21,-,-
75,v812,75,Botic van de Zandschulp,/en/players/botic-van-de-zandschulp/v812/overview,-20,25,90,-
76,m0qi,76,Alex Michelsen,/en/players/alex-michelsen/m0qi/overview,-,27,30,8
77,f724,77,Marton Fucsovics,/en/players/marton-fucsovics/f724/overview,+25,22,-,-
78,cg04,78,Pedro Cachin,/en/players/pedro-cachin/cg04/overview,-,29,-,-
79,h0bh,79,Rinky Hijikata,/en/players/rinky-hijikata/h0bh/overview,+15,30,-,-
80,d0fj,80,Luciano Darderi,/en/players/luciano-darderi/d0fj/overview,-,30,10,-
81,mp20,81,Alexandre Muller,/en/players/alexandre-muller/mp20/overview,-44,30,50,10
82,n732,82,Yoshihito Nishioka,/en/players/yoshihito-nishioka/n732/overview,+25,23,-,-
83,gd64,83,Cristian Garin,/en/players/cristian-garin/gd64/overview,+50,23,20,-
84,ge33,84,Daniel Elahi Galan,/en/players/daniel-elahi-galan/ge33/overview,-35,30,-,-
85,g09o,85,Hugo Gaston,/en/players/hugo-gaston/g09o/overview,-9,29,-,-
86,c0h0,86,Arthur Cazaux,/en/players/arthur-cazaux/c0h0/overview,-,25,-,-
87,m0ni,87,Jakub Mensik,/en/players/jakub-mensik/m0ni/overview,+165,22,-,-
88,ce77,88,Federico Coria,/en/players/federico-coria/ce77/overview,-,30,-,-
89,n0ae,89,Brandon Nakashima,/en/players/brandon-nakashima/n0ae/overview,+15,29,45,20
90,rc91,90,Arthur Rinderknech,/en/players/arthur-rinderknech/rc91/overview,-,29,45,10
91,r09x,91,Jurij Rodionov,/en/players/jurij-rodionov/r09x/overview,-8,26,25,-
92,tb69,92,Dominic Thiem,/en/players/dominic-thiem/tb69/overview,-,26,-,-
93,k0az,93,Aleksandar Kovacevic,/en/players/aleksandar-kovacevic/k0az/overview,+38,30,75,-
94,kd46,94,Thanasi Kokkinakis,/en/players/thanasi-kokkinakis/kd46/overview,+41,25,45,9
95,w09g,95,J.J. Wolf,/en/players/j.j.-wolf/w09g/overview,-,24,-,-
96,mn13,96,Maximilian Marterer,/en/players/maximilian-marterer/mn13/overview,-4,23,-,-
97,n897,97,Sumit Nagal,/en/players/sumit-nagal/n897/overview,-2,24,9,-
98,bd06,98,Roberto Bautista Agut,/en/players/roberto-bautista-agut/bd06/overview,-10,26,-,-
99,lb66,99,Constant Lestienne,/en/players/constant-lestienne/lb66/overview,-,35,-,-
100,t0a1,100,Thiago Agustin Tirante,/en/players/thiago-agustin-tirante/t0a1/overview,-,27,-,-
101,mo44,101,Pedro Martinez,/en/players/pedro-martinez/mo44/overview,-36,31,-,-
102,mj08,102,Thiago Monteiro,/en/players/thiago-monteiro/mj08/overview,+55,25,45,6
103,hb64,103,Quentin Halys,/en/players/quentin-halys/hb64/overview,+8,23,10,-
104,r772,104,Albert Ramos-Vinolas,/en/players/albert-ramos-vinolas/r772/overview,-40,32,-,-
105,gh92,105,Borna Gojo,/en/players/borna-gojo/gh92/overview,-75,20,30,-
