pid,rank,name,link,points,points_moved,tourneys_played,points_losing,points_gaining
bf23,148,Facundo Bagnis,/en/players/facundo-bagnis/bf23/overview,447,-20,24,-,-
s0k7,149,Zachary Svajda,/en/players/zachary-svajda/s0k7/overview,445,-23,25,-,-
k0a3,150,Patrick Kypson,/en/players/patrick-kypson/k0a3/overview,443,-11,23,-,-
l0cx,151,Pablo Llamas Ruiz,/en/players/pablo-llamas-ruiz/l0cx/overview,431,-4,24,-,-
a829,152,Radu Albot,/en/players/radu-albot/a829/overview,423,-,29,-,-
d923,153,Damir Dzumhur,/en/players/damir-dzumhur/d923/overview,421,-5,27,-,-
hg94,154,Benjamin Hassan,/en/players/benjamin-hassan/hg94/overview,417,-,31,-,-
ph64,155,Andrea Pellegrino,/en/players/andrea-pellegrino/ph64/overview,410,+13,23,-,-
g0gd,156,Matteo Gigante,/en/players/matteo-gigante/g0gd/overview,406,+75,24,-,-
da31,157,Hugo Dellien,/en/players/hugo-dellien/da31/overview,399,-90,29,-,-
y218,158,Elias Ymer,/en/players/elias-ymer/y218/overview,397,-,27,55,-
b0fv,159,Roman Andres Burruchaga,/en/players/roman-andres-burruchaga/b0fv/overview,397,-,33,-,-
r0fs,160,Leandro Riedi,/en/players/leandro-riedi/r0fs/overview,396,+44,19,-,-
c0c8,161,Juan Manuel Cerundolo,/en/players/juan-manuel-cerundolo/c0c8/overview,393,+3,29,32,-
n679,162,Stefano Napolitano,/en/players/stefano-napolitano/n679/overview,393,-,27,-,-
m0jz,163,Filip Misolic,/en/players/filip-misolic/m0jz/overview,388,-6,23,4,-
mw18,164,Nicolas Moreno De Alboran,/en/players/nicolas-moreno-de-alboran/mw18/overview,387,-9,24,-,-
k926,165,Mikhail Kukushkin,/en/players/mikhail-kukushkin/k926/overview,385,-,22,-,-
h996,166,Pierre-Hugues Herbert,/en/players/pierre-hugues-herbert/h996/overview,383,+8,20,-,-
d0dw,167,Titouan Droguet,/en/players/titouan-droguet/d0dw/overview,378,+16,24,-,-
pg94,168,Marc Polmans,/en/players/marc-polmans/pg94/overview,378,-2,33,-,-
p0hw,169,Dino Prizmic,/en/players/dino-prizmic/p0hw/overview,377,+16,20,-,-
m0gz,170,Giovanni Mpetshi Perricard,/en/players/giovanni-mpetshi-perricard/m0gz/overview,374,-14,27,-,-
ss25,171,Vitaliy Sachko,/en/players/vitaliy-sachko/ss25/overview,371,-,28,-,-
bm95,172,Benjamin Bonzi,/en/players/benjamin-bonzi/bm95/overview,367,-148,30,-,-
ch12,173,Jan Choinski,/en/players/jan-choinski/ch12/overview,367,-4,32,-,-
o660,174,Genaro Alberto Olivieri,/en/players/genaro-alberto-olivieri/o660/overview,365,+13,22,15,-
sy67,175,Sho Shimabukuro,/en/players/sho-shimabukuro/sy67/overview,365,-7,21,7,-
ge28,176,Ivan Gakhov,/en/players/ivan-gakhov/ge28/overview,351,-,26,-,-
s0gd,177,Dalibor Svrcina,/en/players/dalibor-svrcina/s0gd/overview,351,+7,28,-,-
kb09,178,Denis Kudla,/en/players/denis-kudla/kb09/overview,342,-25,23,-,-
y171,179,Denis Yevseyev,/en/players/denis-yevseyev/y171/overview,341,-1,28,-,-
hg86,180,Lloyd Harris,/en/players/lloyd-harris/hg86/overview,336,-,21,-,-
y09v,181,Yunchaokete Bu,/en/players/yunchaokete-bu/y09v/overview,336,-4,16,5,-
c0bc,182,Maxime Cressy,/en/players/maxime-cressy/c0bc/overview,335,-13,29,-,-
b0gg,183,Mattia Bellucci,/en/players/mattia-bellucci/b0gg/overview,335,+16,31,-,-
cg33,184,Kimmer Coppejans,/en/players/kimmer-coppejans/cg33/overview,330,-,23,-,-
hd68,185,Billy Harris,/en/players/billy-harris/hd68/overview,328,-,34,-,-
i305,186,Ilya Ivashka,/en/players/ilya-ivashka/i305/overview,326,-,17,-,-
m0ac,187,Rudolf Molleker,/en/players/rudolf-molleker/m0ac/overview,324,-5,34,-,-
ta12,188,Stefano Travaglia,/en/players/stefano-travaglia/ta12/overview,321,+40,29,-,-
mw76,189,Matteo Martineau,/en/players/matteo-martineau/mw76/overview,319,-,29,-,-
z09z,190,Beibit Zhukayev,/en/players/beibit-zhukayev/z09z/overview,316,-,23,-,-
j0az,191,Kyrian Jacquet,/en/players/kyrian-jacquet/j0az/overview,315,-,22,-,-
rc04,192,Alexander Ritschard,/en/players/alexander-ritschard/rc04/overview,313,-26,26,11,-
rb60,193,Oriol Roca Batalla,/en/players/oriol-roca-batalla/rb60/overview,310,-,35,8,2
f840,194,Nerman Fatic,/en/players/nerman-fatic/f840/overview,309,-,28,-,-
l0gh,195,Mark Lajal,/en/players/mark-lajal/l0gh/overview,308,-,28,3,2
rh59,196,Santiago Rodriguez Taverna,/en/players/santiago-rodriguez-taverna/rh59/overview,305,-,33,-,-
bv16,197,Ugo Blanchet,/en/players/ugo-blanchet/bv16/overview,304,-3,25,5,-
cf01,198,Marco Cecchinato,/en/players/marco-cecchinato/cf01/overview,301,-,23,20,-
hh06,199,Marc-Andrea Huesler,/en/players/marc-andrea-huesler/hh06/overview,301,-,28,-,-
aa27,200,Franco Agamenone,/en/players/franco-agamenone/aa27/overview,301,+6,24,-,-
e768,201,Antoine Escoffier,/en/players/antoine-escoffier/e768/overview,300,-8,25,-,-
s0ia,202,Dane Sweeny,/en/players/dane-sweeny/s0ia/overview,298,+21,29,9,4
tc01,203,Li Tu,/en/players/li-tu/tc01/overview,297,-,29,-,-
c0ak,204,Oliver Crawford,/en/players/oliver-crawford/c0ak/overview,296,-22,28,-,-
mk26,205,Jules Marie,/en/players/jules-marie/mk26/overview,295,+19,34,-,-
bo10,206,Gijs Brouwer,/en/players/gijs-brouwer/bo10/overview,292,-32,26,11,-
gk06,207,Alexis Galarneau,/en/players/alexis-galarneau/gk06/overview,292,-,24,7,-
r0fp,208,Daniel Rincon,/en/players/daniel-rincon/r0fp/overview,292,-,26,-,-
d0dt,209,Martin Damm,/en/players/martin-damm/d0dt/overview,292,+8,29,8,4
va70,210,Mate Valkusz,/en/players/mate-valkusz/va70/overview,290,-,20,-,-
da86,211,Joris De Loore,/en/players/joris-de-loore/da86/overview,289,-7,21,16,-
pc11,212,Guido Pella,/en/players/guido-pella/pc11/overview,285,-,11,-,-
hc21,213,Seongchan Hong,/en/players/seongchan-hong/hc21/overview,284,-30,26,16,-
ph78,214,Ryan Peniston,/en/players/ryan-peniston/ph78/overview,283,-9,28,-,-
gb53,215,Federico Gaio,/en/players/federico-gaio/gb53/overview,281,-16,26,-,-
o482,216,Goncalo Oliveira,/en/players/goncalo-oliveira/o482/overview,281,-,37,-,-
db59,217,Dennis Novak,/en/players/dennis-novak/db59/overview,278,+6,23,-,-
df88,218,Aziz Dougaz,/en/players/aziz-dougaz/df88/overview,278,-,36,11,7
hb48,219,Calvin Hemery,/en/players/calvin-hemery/hb48/overview,276,-,25,-,-
ta29,220,Marco Trungelliti,/en/players/marco-trungelliti/ta29/overview,276,-,29,7,5
r975,221,Milos Raonic,/en/players/milos-raonic/r975/overview,275,-,8,-,-
t09x,222,Clement Tabur,/en/players/clement-tabur/t09x/overview,275,-5,27,-,-
kc04,223,Jozef Kovalik,/en/players/jozef-kovalik/kc04/overview,272,+12,23,-,-
p0ct,224,Francesco Passaro,/en/players/francesco-passaro/p0ct/overview,271,-,26,10,-
j553,225,Omar Jasika,/en/players/omar-jasika/j553/overview,269,-,28,-,-
me89,226,Illya Marchenko,/en/players/illya-marchenko/me89/overview,268,-,22,2,-
n0cs,227,Lukas Neumayer,/en/players/lukas-neumayer/n0cs/overview,268,+3,33,-,-
s0nv,228,Abdullah Shelbayh,/en/players/abdullah-shelbayh/s0nv/overview,265,-,29,-,-
m0if,229,Francesco Maestrelli,/en/players/francesco-maestrelli/m0if/overview,264,+22,30,20,-
cg94,230,Enzo Couacaud,/en/players/enzo-couacaud/cg94/overview,263,+14,18,-,-
kc33,231,Dimitar Kuzmanov,/en/players/dimitar-kuzmanov/kc33/overview,258,-14,23,9,-
g983,232,Alessandro Giannessi,/en/players/alessandro-giannessi/g983/overview,258,-,30,-,-
h09f,233,Yu Hsiou Hsu,/en/players/yu-hsiou-hsu/h09f/overview,257,-9,20,-,-
y268,234,Mikael Ymer,/en/players/mikael-ymer/y268/overview,257,-45,14,45,-
kh56,235,Zdenek Kolar,/en/players/zdenek-kolar/kh56/overview,256,-16,33,-,-
w857,236,Tung-Lin Wu,/en/players/tung-lin-wu/w857/overview,250,+7,22,-,-
s0n0,237,Tristan Schoolkate,/en/players/tristan-schoolkate/s0n0/overview,250,+5,32,25,2
h0du,238,Gustavo Heide,/en/players/gustavo-heide/h0du/overview,249,-,22,-,-
li03,239,Edoardo Lavagno,/en/players/edoardo-lavagno/li03/overview,249,-,30,-,-
j386,240,Steve Johnson,/en/players/steve-johnson/j386/overview,247,-,13,-,-
w0bh,241,Coleman Wong,/en/players/coleman-wong/w0bh/overview,245,-4,26,4,-
b0ej,242,Tristan Boyer,/en/players/tristan-boyer/b0ej/overview,244,+7,23,-,-
s0aq,243,Yuta Shimizu,/en/players/yuta-shimizu/s0aq/overview,243,-,23,2,-
pj74,244,Lucas Poullain,/en/players/lucas-poullain/pj74/overview,240,-,27,25,3
m0ht,245,Alejandro Moro Canas,/en/players/alejandro-moro-canas/m0ht/overview,239,-13,23,-,-
a0ab,246,Adrian Andreev,/en/players/adrian-andreev/a0ab/overview,239,+10,31,-,-
be90,247,Ricardas Berankis,/en/players/ricardas-berankis/be90/overview,238,+3,21,11,-
u134,248,Yasutaka Uchiyama,/en/players/yasutaka-uchiyama/u134/overview,238,-2,21,-,-
wb32,249,Yibing Wu,/en/players/yibing-wu/wb32/overview,235,-,14,-,-
r0go,250,Henrique Rocha,/en/players/henrique-rocha/r0go/overview,234,-13,30,3,1
dc48,251,Murkel Dellien,/en/players/murkel-dellien/dc48/overview,234,+21,31,-,-
bi47,252,Riccardo Bonadio,/en/players/riccardo-bonadio/bi47/overview,232,-,29,32,-
k0hc,253,Maks Kasnikowski,/en/players/maks-kasnikowski/k0hc/overview,231,+5,28,15,2
fa43,254,Juan Pablo Ficovich,/en/players/juan-pablo-ficovich/fa43/overview,231,-,32,-,-
j620,255,Maxime Janvier,/en/players/maxime-janvier/j620/overview,229,-,31,-,-
gh33,256,Manuel Guinard,/en/players/manuel-guinard/gh33/overview,226,-,28,-,-
ml57,257,Gianluca Mager,/en/players/gianluca-mager/ml57/overview,225,-,18,-,-
i0a7,258,Nicholas David Ionel,/en/players/nicholas-david-ionel/i0a7/overview,224,-,35,4,3
j380,259,Jason Jung,/en/players/jason-jung/j380/overview,221,-14,18,-,-
bk19,260,Mathias Bourgue,/en/players/mathias-bourgue/bk19/overview,219,-11,24,16,-
a887,261,Guido Andreozzi,/en/players/guido-andreozzi/a887/overview,218,-16,22,20,-
bi81,262,Alex Bolt,/en/players/alex-bolt/bi81/overview,217,-,18,32,-
k0e6,263,Alibek Kachmazov,/en/players/alibek-kachmazov/k0e6/overview,215,-12,26,-,-
f0dm,264,Arthur Fery,/en/players/arthur-fery/f0dm/overview,213,-,15,-,-
s0ti,265,Philip Sekulic,/en/players/philip-sekulic/s0ti/overview,211,-,25,16,-
bp41,266,Antoine Bellier,/en/players/antoine-bellier/bp41/overview,211,-6,22,25,-
o0a2,267,Gauthier Onclin,/en/players/gauthier-onclin/o0a2/overview,209,-24,27,-,-
mw54,268,Dragos Nicolae Madaras,/en/players/dragos-nicolae-madaras/mw54/overview,208,-,21,-,-
r0eb,269,Valentin Royer,/en/players/valentin-royer/r0eb/overview,207,-,24,16,-
sl08,270,Tennys Sandgren,/en/players/tennys-sandgren/sl08/overview,207,-,24,-,-
dg80,271,Enrico Dalla Valle,/en/players/enrico-dalla-valle/dg80/overview,207,+1,28,-,-
s0gr,272,Timofey Skatov,/en/players/timofey-skatov/s0gr/overview,205,-,20,-,-
e698,273,Gastao Elias,/en/players/gastao-elias/e698/overview,205,+2,16,16,-
d864,274,Evgeny Donskoy,/en/players/evgeny-donskoy/d864/overview,205,-7,27,5,-
fc49,275,Giovanni Fonio,/en/players/giovanni-fonio/fc49/overview,205,+2,34,-,-
h09p,276,Brandon Holt,/en/players/brandon-holt/h09p/overview,203,+13,18,10,-
bu54,277,Geoffrey Blancaneaux,/en/players/geoffrey-blancaneaux/bu54/overview,202,-,29,-,-
s0ak,278,Henri Squire,/en/players/henri-squire/s0ak/overview,202,-5,31,-,-
gg65,279,Michael Geerts,/en/players/michael-geerts/gg65/overview,201,-,33,-,-
sh90,280,Joao Sousa,/en/players/joao-sousa/sh90/overview,200,-,21,-,-
o376,281,Renzo Olivo,/en/players/renzo-olivo/o376/overview,199,-,27,6,2
s0gz,282,Nikolas Sanchez Izquierdo,/en/players/nikolas-sanchez-izquierdo/s0gz/overview,199,-,32,-,-
v708,283,Jiri Vesely,/en/players/jiri-vesely/v708/overview,198,-,17,-,-
cc66,284,Andrea Collarini,/en/players/andrea-collarini/cc66/overview,198,-,24,-,-
lc11,285,Tristan Lamasine,/en/players/tristan-lamasine/lc11/overview,198,+3,26,-,-
o449,286,Oscar Otte,/en/players/oscar-otte/o449/overview,196,-,19,-,-
q02l,287,Ethan Quinn,/en/players/ethan-quinn/q02l/overview,196,-,21,-,-
i186,288,John Isner,/en/players/john-isner/i186/overview,195,-,13,-,-
pf39,289,Lucas Pouille,/en/players/lucas-pouille/pf39/overview,195,+16,12,-,-
ea13,290,Moez Echargui,/en/players/moez-echargui/ea13/overview,195,-14,28,16,2
